DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Rio de Janeiro
Casos Prováveis por Município de notificação e Ano 1º Sintoma(s)
Ano 1º Sintoma(s): 2012, 2013
Período:2012-2013
"Município de notificação";"2012";"2013";"Total"
" MUNICIPIO IGNORADO - RJ";-;-;-
"330010 ANGRA DOS REIS";1328;7812;9140
"330015 APERIBE";124;233;357
"330020 ARARUAMA";155;1791;1946
"330022 AREAL";2;72;74
"330023 ARMACAO DOS BUZIOS";83;1436;1519
"330025 ARRAIAL DO CABO";45;498;543
"330030 BARRA DO PIRAI";148;877;1025
"330040 BARRA MANSA";44;1222;1266
"330045 BELFORD ROXO";574;1225;1799
"330050 BOM JARDIM";-;37;37
"330060 BOM JESUS DO ITABAPOANA";64;1386;1450
"330070 CABO FRIO";3527;7527;11054
"330080 CACHOEIRAS DE MACACU";181;2595;2776
"330090 CAMBUCI";41;287;328
"330093 CARAPEBUS";2;543;545
"330095 COMENDADOR LEVY GASPARIAN";1;206;207
"330100 CAMPOS DOS GOYTACAZES";1316;15140;16456
"330110 CANTAGALO";10;776;786
"330115 CARDOSO MOREIRA";25;184;209
"330120 CARMO";7;45;52
"330130 CASIMIRO DE ABREU";29;853;882
"330140 CONCEICAO DE MACABU";7;19;26
"330150 CORDEIRO";44;733;777
"330160 DUAS BARRAS";1;5;6
"330170 DUQUE DE CAXIAS";2935;6518;9453
"330180 ENGENHEIRO PAULO DE FRONTIN";-;21;21
"330185 GUAPIMIRIM";9;322;331
"330187 IGUABA GRANDE";117;1147;1264
"330190 ITABORAI";4337;5997;10334
"330200 ITAGUAI";104;391;495
"330205 ITALVA";187;188;375
"330210 ITAOCARA";38;245;283
"330220 ITAPERUNA";402;7002;7404
"330225 ITATIAIA";44;148;192
"330227 JAPERI";38;61;99
"330230 LAJE DO MURIAE";4;87;91
"330240 MACAE";432;4272;4704
"330245 MACUCO";3;547;550
"330250 MAGE";154;363;517
"330260 MANGARATIBA";112;413;525
"330270 MARICA";477;1963;2440
"330280 MENDES";7;1098;1105
"330285 MESQUITA";619;94;713
"330290 MIGUEL PEREIRA";11;21;32
"330300 MIRACEMA";55;747;802
"330310 NATIVIDADE";12;129;141
"330320 NILOPOLIS";697;86;783
"330330 NITEROI";7002;13183;20185
"330340 NOVA FRIBURGO";57;1052;1109
"330350 NOVA IGUACU";2003;877;2880
"330360 PARACAMBI";6;316;322
"330370 PARAIBA DO SUL";7;397;404
"330380 PARATY";26;99;125
"330385 PATY DO ALFERES";11;95;106
"330390 PETROPOLIS";39;398;437
"330395 PINHEIRAL";30;408;438
"330400 PIRAI";103;213;316
"330410 PORCIUNCULA";5;379;384
"330411 PORTO REAL";2;69;71
"330412 QUATIS";-;20;20
"330414 QUEIMADOS";77;97;174
"330415 QUISSAMA";6;133;139
"330420 RESENDE";188;618;806
"330430 RIO BONITO";782;2629;3411
"330440 RIO CLARO";1;14;15
"330450 RIO DAS FLORES";13;174;187
"330452 RIO DAS OSTRAS";459;4443;4902
"330455 RIO DE JANEIRO";138776;67538;206314
"330460 SANTA MARIA MADALENA";-;5;5
"330470 SANTO ANTONIO DE PADUA";837;655;1492
"330475 SAO FRANCISCO DE ITABAPOANA";28;1799;1827
"330480 SAO FIDELIS";126;687;813
"330490 SAO GONCALO";9799;15313;25112
"330500 SAO JOAO DA BARRA";11;186;197
"330510 SAO JOAO DE MERITI";786;1028;1814
"330513 SAO JOSE DE UBA";12;80;92
"330515 SAO JOSE DO VALE DO RIO PRETO";10;373;383
"330520 SAO PEDRO DA ALDEIA";61;1322;1383
"330530 SAO SEBASTIAO DO ALTO";1;147;148
"330540 SAPUCAIA";50;467;517
"330550 SAQUAREMA";229;2019;2248
"330555 SEROPEDICA";38;168;206
"330560 SILVA JARDIM";240;580;820
"330570 SUMIDOURO";-;-;-
"330575 TANGUA";215;1101;1316
"330580 TERESOPOLIS";17;164;181
"330590 TRAJANO DE MORAES";-;19;19
"330600 TRES RIOS";18;1087;1105
"330610 VALENCA";1326;2693;4019
"330615 VARRE-SAI";2;28;30
"330620 VASSOURAS";37;1077;1114
"330630 VOLTA REDONDA";999;14095;15094
"Total";182987;215607;398594
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados,
   pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG)
   em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico.
   A partir de 2013, deve-se incluir, além dos casos graves, aqueles com classificação final dengue.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
